敵種類,弾種類,移動パターン,弾パターン,出現,停止,ショット,帰還,x座標,y座標,移動スピード,弾スピード,HP,アイテム
0,2,1,0,60,120,121,180,230,-40,2,4,10,0
1,0,1,1,180,240,241,300,170,-40,2,4,10,0
2,1,1,2,300,360,361,420,290,-40,2,4,10,0
0,1,1,4,420,480,481,540,230,-40,2,4,10,0
2,2,0,0,540,600,601,660,110,-40,2,6,10,0
2,2,0,0,540,600,601,660,350,-40,2,6,10,0
1,0,0,5,600,660,661,720,230,-40,4,6,10,0
0,2,2,0,720,740,741,820,-40,80,3,4,10,0
0,2,2,0,780,800,801,880,500,140,3,4,10,0
2,0,3,1,800,860,861,920,-40,-40,2,4,10,0
2,0,3,1,840,900,901,960,500,-40,2,4,10,0
2,0,3,1,880,940,941,1000,-40,-40,2,4,10,0
2,0,3,1,920,980,981,1040,500,-40,2,4,10,0
1,1,1,3,1060,1120,1121,1180,230,-40,2,2,20,0
0,2,1,5,1300,1360,1361,1420,70,-40,6,4,10,0
2,1,3,4,1300,1380,1381,1460,40,-40,2,4,10,0
0,2,1,5,1450,1510,1511,1570,390,-40,6,4,10,0
2,1,3,4,1450,1530,1531,610,420,-40,2,4,10,0
1,0,2,2,1600,1640,1641,1680,500,60,2,3,10,0
1,0,2,2,1680,1720,1721,1760,-40,60,2,3,10,0
0,2,1,0,1800,1860,1861,2020,70,-40,2,4,10,0
0,2,1,0,1800,1860,1861,2020,130,-40,2,4,10,0
0,2,1,0,1800,1860,1861,2020,190,-40,2,4,10,0
0,2,1,0,1800,1860,1861,2020,270,-40,2,4,10,0
0,2,1,0,1800,1860,1861,2020,330,-40,2,4,10,0
0,2,1,0,1800,1860,1861,2020,390,-40,2,4,10,0
1,1,1,3,2060,2120,2121,2180,230,-40,2,2,20,0
0,2,1,5,2300,2360,2361,2420,70,-40,6,4,10,0
2,1,3,4,2300,2380,2381,2460,40,-40,2,4,10,0
0,2,1,5,2450,2510,2511,2570,390,-40,6,4,10,0
2,1,3,4,2450,2530,2531,2610,420,-40,2,4,10,0
1,0,2,2,2600,2640,2641,2680,500,60,2,3,10,0
1,0,2,2,2680,2720,2721,2760,-40,60,2,3,10,0
0,2,1,0,2800,2860,2861,2980,70,-40,2,4,10,0
0,2,1,0,2800,2860,2861,2980,130,-40,2,4,10,0
0,2,1,0,2800,2860,2861,2980,190,-40,2,4,10,0
0,2,1,0,2800,2860,2861,2980,270,-40,2,4,10,0
0,2,1,0,2800,2860,2861,2980,330,-40,2,4,10,0
0,2,1,0,2800,2860,2861,2980,390,-40,2,4,10,0
1,0,1,1,2940,3000,3001,3200,70,-40,2,4,10,0
1,0,1,1,2980,3040,3041,3210,390,-40,2,4,10,0
1,0,1,1,3020,3080,3081,3220,150,-40,2,4,10,0
1,0,1,1,3060,3100,3101,3230,310,-40,2,4,10,0
1,0,1,1,3100,3140,3141,3240,230,-40,2,4,10,0
2,0,2,3,3260,3320,3321,3380,-40,100,2,2,20,0
2,0,2,3,3380,3440,3441,3500,500,100,2,2,20,0
0,2,3,2,3540,3620,3621,3700,500,-40,2,4,20,0
0,2,3,2,3660,3740,3741,3820,-40,-40,2,4,20,0
1,2,0,3,3900,3910,3911,3940,160,-40,4,2,10,0
1,2,0,3,3900,3910,3911,3940,300,-40,4,2,10,0
